observaciones_train,accuracy_train,accuracy_validation
30,0.7333333333333333,0.9
45,0.8,0.9
60,0.8166666666666667,0.9333333333333333
75,0.88,0.9333333333333333
90,0.8888888888888888,0.9333333333333333
