observaciones_train,accuracy_train,accuracy_validation
30,0.9666666666666667,0.9666666666666667
45,0.9333333333333333,0.9333333333333333
60,0.9666666666666667,0.9666666666666667
75,0.9733333333333334,1.0
90,0.9666666666666667,1.0
