split,accuracy,precision_macro,recall_macro,f1_macro,silhouette
Train,0.9667,0.967,0.9667,0.9667,0.6705
Validation,1.0,1.0,1.0,1.0,0.645
Test,0.9333,0.9333,0.9333,0.9333,0.6029
